City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
116,Antofagasta,-23.65,-70.4,63.68,70,30,5.35,CL,scattered clouds
117,Bengkulu,-3.8004,102.2655,80.2,74,44,2.55,ID,scattered clouds
118,Alice Springs,-23.7,133.8833,92.75,12,0,9.22,AU,clear sky
119,Bushehr,28.9684,50.8385,68.09,60,40,4.61,IR,scattered clouds
120,Kuryk,43.2,51.65,22.96,47,0,13.02,KZ,clear sky
121,Canutama,-6.5339,-64.3831,73.63,97,84,1.83,BR,broken clouds
122,Tuktoyaktuk,69.4541,-133.0374,10.4,85,75,21.85,CA,light snow
123,Ribeira Grande,38.5167,-28.7,59.77,79,99,11.99,PT,light rain
124,Airai,-8.9266,125.4092,76.71,39,96,0.87,TL,overcast clouds
125,Port Elizabeth,-33.918,25.5701,63.32,85,100,3.0,ZA,overcast clouds
126,Mehamn,71.0357,27.8492,26.51,80,40,20.71,NO,scattered clouds
127,San Martin,-33.081,-68.4681,82.94,28,32,3.71,AR,scattered clouds
128,Punta Arenas,-53.15,-70.9167,42.91,65,20,14.97,CL,few clouds
129,Bethel,41.3712,-73.414,50.49,59,4,10.0,US,clear sky
130,Rosario Do Sul,-30.2583,-54.9142,70.25,92,72,6.24,BR,broken clouds
131,Margate,51.3813,1.3862,41.7,81,100,4.0,GB,overcast clouds
132,Hay River,60.8156,-115.7999,28.38,86,100,18.41,CA,snow
133,Nalut,30.3333,10.85,58.84,19,6,5.93,LY,clear sky
134,Khatanga,71.9667,102.5,15.37,92,100,26.11,RU,light snow
135,Trelew,-43.249,-65.3051,73.58,19,3,17.6,AR,clear sky
136,Cabo San Lucas,22.8909,-109.9124,79.52,72,4,7.2,MX,clear sky
137,Damara,4.9608,18.7035,71.69,59,44,1.48,CF,scattered clouds
138,Laguna,38.421,-121.4238,53.17,95,100,6.91,US,mist
139,Lahij,13.1667,44.5833,68.2,85,0,3.42,YE,clear sky
140,Korla,41.7597,86.1469,20.7,38,79,1.23,CN,broken clouds
141,Hamilton,39.1834,-84.5333,34.43,75,9,3.96,US,clear sky
142,Marathon,44.9,-89.7668,13.24,75,0,3.44,US,clear sky
143,Chistogorskiy,53.9835,87.3843,-8.68,99,97,1.16,RU,overcast clouds
144,Hovd,48.0056,91.6419,-2.58,75,0,4.25,MN,clear sky
145,Cidreira,-30.1811,-50.2056,71.51,97,100,5.08,BR,overcast clouds
146,Rawson,-43.3002,-65.1023,70.2,31,26,13.13,AR,scattered clouds
147,Puerto Berrio,6.4916,-74.4033,73.99,89,100,2.44,CO,overcast clouds
148,Krasnyy Klyuch,55.3863,56.6529,0.7,92,98,2.1,RU,overcast clouds
149,Narsaq,60.9167,-46.05,12.0,75,2,8.86,GL,clear sky
150,Dengzhou,37.8086,120.7508,35.6,44,100,13.76,CN,overcast clouds
151,Baherden,38.4362,57.4316,36.16,33,62,5.99,TM,broken clouds
152,Te Anau,-45.4167,167.7167,53.83,79,100,6.4,NZ,overcast clouds
153,Saldanha,-33.0117,17.9442,57.25,75,53,19.51,ZA,broken clouds
154,Goderich,43.7501,-81.7165,34.92,64,100,14.97,CA,overcast clouds
155,Brae,60.3964,-1.353,43.57,71,100,10.54,GB,overcast clouds
156,Whakatane,-37.9585,176.9854,77.88,69,7,5.01,NZ,clear sky
157,Vanimo,-2.6741,141.3028,77.2,92,100,7.47,PG,moderate rain
158,Tessalit,20.1986,1.0114,69.31,19,2,2.68,ML,clear sky
159,Lasem,-6.6922,111.4527,82.42,76,100,5.93,ID,overcast clouds
160,Ithaca,42.4406,-76.4966,40.14,66,100,17.27,US,overcast clouds
161,Yumen,40.2833,97.2,14.74,85,97,2.82,CN,overcast clouds
162,Sinjar,36.3209,41.8754,53.02,63,85,1.77,IQ,overcast clouds
163,Byron Bay,-28.65,153.6167,70.95,81,92,12.75,AU,overcast clouds
